fedExPoints,name,r1,r2,r3,r4,rank,score,total,year
63,Jim Furyk,71,64,68,63,1,-18,266,2015
64,Kevin Kisner,68,64,67,64,2,-18,266,2015
66,Satoshi Kodaira,73,63,70,66,1,-12,272,2018
69,Troy Merritt,69,64,69,69,3,-16,268,2015
71,Si Woo Kim,68,63,68,71,2,-12,272,2018
67,Brendon Todd,73,64,63,67,4,-15,269,2015
64,Brandt Snedeker,69,67,72,64,1,-12,272,2011
66,Bryson DeChambeau,68,63,75,66,T3,-11,273,2018
69,Graeme McDowell,71,67,68,69,1,-9,275,2013
68,Matt Kuchar,68,64,68,68,5,-14,270,2015
70,Luke Donald,67,67,70,70,2,-12,272,2011
72,Luke List,70,63,67,72,T3,-11,273,2018
71,Webb Simpson,68,67,65,71,2,-9,275,2013
64,Sean O'Hair,70,64,70,64,6,-13,271,2015
68,Tommy Gainey,71,67,67,68,3,-11,273,2011
68,Webb Simpson,69,63,69,68,T5,-10,274,2018
69,Luke Donald,69,67,71,69,T3,-7,277,2013
69,Branden Grace,70,64,66,69,T7,-12,272,2015
67,Tim Herron,65,67,71,67,T4,-10,274,2011
72,Billy Horschel,66,63,67,72,T5,-10,274,2018
72,Kevin Streelman,66,67,69,72,T3,-7,277,2013
67,Louis Oosthuizen,69,64,69,67,T7,-12,272,2015
69,Ricky Barnes,71,67,67,69,T4,-10,274,2011
68,Patrick Cantlay,67,63,68,68,T7,-9,275,2018
71,Jerry Kelly,69,67,66,71,5,-6,278,2013
68,Morgan Hoffmann,68,64,69,68,T9,-11,273,2015
68,Nick O'Hern,70,67,72,68,T6,-8,276,2011
68,Kevin Streelman,70,63,67,68,T7,-9,275,2018
70,Chris Stroud,70,67,69,70,T6,-5,279,2013
69,Bo Van Pelt,69,64,67,69,T9,-11,273,2015
70,Pat Perez,71,67,68,70,T6,-8,276,2011
69,Bill Haas,69,63,71,69,T7,-9,275,2018
69,Russell Henley,73,67,67,69,T6,-5,279,2013
66,Blake Adams,72,64,71,66,T11,-10,274,2015
70,Ben Crane,69,67,71,70,T6,-8,276,2011
69,Byeong-Hun An,73,63,66,69,T7,-9,275,2018
77,Charley Hoffman,66,67,66,77,T6,-5,279,2013
71,Brice Garnett,72,64,65,71,T11,-10,274,2015
66,Kevin Na,70,67,73,66,T9,-7,277,2011
72,Chesson Hadley,66,63,69,72,T7,-9,275,2018
75,Brendon de Jonge,70,67,67,75,T9,-3,281,2013
69,Justin Thomas,70,64,68,69,T11,-10,274,2015
68,Paul Goydos,72,67,70,68,T9,-7,277,2011
72,Kevin Kisner,69,63,66,72,T7,-9,275,2018
71,Trevor Immelman,72,67,66,71,T9,-3,281,2013
70,Jordan Spieth,74,64,68,70,T11,-10,274,2015
73,Scott Verplank,67,67,67,73,T9,-7,277,2011
75,Ian Poulter,69,63,67,75,T7,-9,275,2018
72,Marc Leishman,67,67,71,72,T9,-3,281,2013
67,Bryce Molder,74,64,70,67,T15,-9,275,2015
70,Garrett Willis,64,67,74,70,T9,-7,277,2011
67,Matthew Fitzpatrick,69,63,69,67,T14,-8,276,2018
74,Camilo Villegas,68,67,68,74,T9,-3,281,2013
70,Luke Donald,73,64,66,70,T15,-9,275,2015
72,Jason Day,69,67,71,72,T9,-7,277,2011
69,Jonas Blixt,67,63,67,69,T14,-8,276,2018
71,Rory Sabbatini,69,67,72,71,T9,-3,281,2013
67,Cameron Smith,68,64,67,67,T15,-9,275,2015
71,Chad Campbell,65,67,73,71,T14,-6,278,2011
68,Beau Hossler,70,63,70,68,T16,-7,277,2018
70,Mark Wilson,69,67,67,70,T9,-3,281,2013
70,Russell Knox,75,64,67,70,T18,-8,276,2015
68,Webb Simpson,69,67,72,68,T14,-6,278,2011
67,J.J. Henry,72,63,69,67,T16,-7,277,2018
74,Billy Horschel,71,67,68,74,T9,-3,281,2013
69,Jason Kokrak,72,64,65,69,T18,-8,276,2015
