birdie,bogey,dbl,driveAcc,driveYards,eagle,gir,ip,name,pars,ppgGir,toPar,year
16,5,0,55.4,274.2,1,55.6,1,Wesley Bryan,50,1.675,-13,2017
16,4,1,55.4,276.9,1,56.9,2,Luke Donald,50,1.634,-12,2017
18,5,1,51.8,282.2,0,61.1,T3,Patrick Cantlay,48,1.636,-11,2017
18,7,0,51.8,278.3,0,75,T3,Ollie Schniederjans,47,1.704,-11,2017
17,6,0,75,278.4,0,72.2,T3,William McGirt,49,1.731,-11,2017
21,11,0,69.6,270.2,0,62.5,T6,Brian Gay,40,1.578,-10,2017
17,7,0,66.1,284.5,0,63.9,T6,J.J. Spaun,48,1.717,-10,2017
18,7,0,69.6,289.5,1,83.3,T6,Graham DeLaet,45,1.733,-10,2017
20,7,2,58.9,274.6,0,68.1,T9,Brian Harman,43,1.653,-9,2017
20,9,1,60.7,298,0,70.8,T9,Bud Cauley,42,1.647,-9,2017
13,7,0,69.6,276.8,1,69.4,T11,Matt Kuchar,51,1.740,-8,2017
22,10,2,60.7,276.6,0,66.7,T11,Sam Saunders,38,1.583,-8,2017
15,5,1,66.1,272.5,0,66.7,T11,Brandt Snedeker,51,1.688,-8,2017
14,4,1,67.9,276.2,0,68.1,T11,Russell Knox,53,1.755,-8,2017
15,7,0,62.5,277.6,0,62.5,T11,Sung Kang,50,1.711,-8,2017
17,5,2,58.9,271.7,0,63.9,T11,Branden Grace,48,1.630,-8,2017
18,10,0,53.6,298.7,0,72.2,T11,Ryan Palmer,44,1.750,-8,2017
18,8,1,58.9,279.2,0,69.4,T11,Ian Poulter,45,1.760,-8,2017
18,10,0,71.4,278.8,0,70.8,T11,Kevin Kisner,44,1.784,-8,2017
17,11,0,67.9,271,1,61.1,T11,Webb Simpson,43,1.682,-8,2017
15,9,1,69.6,296.6,2,72.2,T11,Jason Dufner,45,1.750,-8,2017
16,9,1,62.5,282.7,1,68.1,T22,Adam Hadwin,45,1.776,-7,2017
15,8,0,69.6,280.2,0,72.2,T22,Francesco Molinari,49,1.808,-7,2017
18,7,3,64.3,272.2,1,75,T22,Billy Hurley III,43,1.667,-7,2017
12,5,0,60.7,278.9,0,61.1,T22,Nick Taylor,55,1.773,-7,2017
16,8,1,67.9,291.3,0,69.4,T26,Russell Henley,47,1.760,-6,2017
14,6,1,58.9,280.2,0,66.7,T26,Rod Pampling,51,1.771,-6,2017
16,8,1,62.5,276.6,0,65.3,T26,Blayne Barber,47,1.702,-6,2017
13,6,1,58.9,272.4,0,56.9,T29,Graeme McDowell,52,1.780,-5,2017
14,7,1,57.1,291.7,0,63.9,T29,Cameron Smith,50,1.739,-5,2017
12,7,0,60.7,274,0,61.1,T29,Tyrrell Hatton,53,1.773,-5,2017
16,10,2,60.7,296.2,1,63.9,T32,Martin Kaymer,43,1.717,-4,2017
14,6,2,64.3,282.9,0,75,T32,Lucas Glover,50,1.778,-4,2017
13,7,1,66.1,265.6,0,65.3,T32,Zac Blair,51,1.723,-4,2017
17,9,2,53.6,277.3,0,63.9,T32,Derek Fathauer,44,1.674,-4,2017
16,10,1,48.2,291.5,0,61.1,T32,Patton Kizzire,45,1.682,-4,2017
14,10,0,57.1,270.3,0,72.2,T32,Rafael Campos,48,1.769,-4,2017
14,10,0,69.6,283.4,0,58.3,T32,Chad Campbell,48,1.786,-4,2017
16,9,2,64.3,269.9,0,56.9,T39,Kevin Na,45,1.707,-3,2017
17,8,3,50,274.2,0,61.1,T39,Danny Lee,44,1.614,-3,2017
14,11,0,69.6,266,0,56.9,T39,Hideto Tanihara,47,1.732,-3,2017
13,6,2,55.4,282.3,0,65.3,T39,Johnson Wagner,51,1.745,-3,2017
12,9,0,55.4,265.7,0,61.1,T39,Jason Bohn,51,1.750,-3,2017
12,10,0,67.9,277.7,0,62.5,T44,C.T. Pan,50,1.756,-2,2017
13,9,1,58.9,292.1,0,52.8,T44,Anirban Lahiri,49,1.684,-2,2017
10,8,2,67.9,276,2,69.4,T44,Marc Leishman,50,1.800,-2,2017
14,12,2,57.1,278.2,2,56.9,T44,Jonas Blixt,42,1.561,-2,2017
14,10,1,57.1,266.1,0,58.3,T44,Mark D. Anderson,47,1.738,-2,2017
15,9,2,58.9,281.6,0,54.2,T44,Fabian Gomez,46,1.692,-2,2017
14,10,1,64.3,275.3,0,62.5,T44,Alex Cejka,47,1.756,-2,2017
14,10,2,60.7,269.6,1,55.6,T44,Bryce Molder,45,1.650,-2,2017
18,14,2,67.9,276.6,1,58.3,T44,Shane Lowry,37,1.619,-2,2017
12,10,0,67.9,289.8,0,65.3,T44,Boo Weekley,50,1.851,-2,2017
18,12,2,66.1,291.6,0,62.5,T44,Keegan Bradley,40,1.644,-2,2017
14,11,0,66.1,267,1,48.6,T44,Peter Malnati,45,1.629,-2,2017
11,8,1,48.2,290.7,0,62.5,T56,Charles Howell III,52,1.800,-1,2017
10,7,1,71.4,261.3,0,48.6,T56,Brian Stuard,54,1.714,-1,2017
8,7,0,55.4,270.3,0,63.9,T56,Tyrone Van Aswegen,57,1.826,-1,2017
14,7,3,58.9,275.4,1,72.2,T59,Kyle Stanley,46,1.769,E,2017
12,12,0,58.9,285,0,58.3,T59,Grayson Murray,48,1.762,E,2017
12,10,2,57.1,272.3,1,58.3,T59,Daniel Summerhays,47,1.690,E,2017
17,11,3,51.8,276.3,0,51.4,T59,Harold Varner III,41,1.676,E,2017
